author,name,material,technic,genre,style,v_size,h_size,year,price
Romanova Anita,Air,Холст,Масло,Portrait,Symbolism,80,60,2019,5570
Romanova Anita,In harmony,Холст,Масло,Portrait,Symbolism,60,50,2019,3000
Romanova Anita,Rainy Moscow,Холст,Масло,Landscape,Impressionism,80,60,2019,3350
Romanova Anita,One way,Холст,Масло,Landscape,Conceptual art,80,60,2019,3900
Romanova Anita,Chateau relax,Холст,Масло,Genre painting,Conceptual art,70,50,2019,3430
"Konovalov Yuriy,Sukhanovo,paper,""pastel, charcoal"",Landscape,Realism,50,72,1980,2140"
Goloviy Viktor,Portrait in a fur beret,Canvas,Oil,Portrait,Expressionism,100,60,1995,14290
Veselyy Frol,Tank -1 “hits Series”,Canvas,acrylic,Genre painting,Expressionism,110,150,2015,3430
Firsov Aleksey,Vineyards around Gurzuf,Cardboard,Oil,Landscape,Realism,50,79,1968,2790
Firsov Aleksey,Glare on the water,Cardboard,Oil,Landscape,Realism,33,48,1963,3430
Kovba Nadya,Naivety,Canvas,Oil,Portrait,Symbolism,120,160,2013,6430
Derun Ekaterina,Fish,Холст,Масло,Still life,Impressionism,55,60.5,2018,3000
Derun Ekaterina,Very wild pears,Холст,Масло,Still life,Impressionism,35,40,2015,1930
Derun Ekaterina,Africa,Холст,Масло,Still life,Impressionism,50,50,2019,2570
Terekhin Vladimir,Pink bouquet,ДВП,Масло,Flowers,Impressionism,36,41,2020,1930
Terekhin Vladimir,Multicolour-2,ДВП,Масло,Flowers,Impressionism,40,31,2020,1500
Terekhin Vladimir,Oval bouquet,ДВП,Масло,Flowers,Impressionism,30,40,2020,1710
Terekhin Vladimir,Red flower,ДВП,Масло,Flowers,Impressionism,30,20,2020,1290
Terekhin Vladimir,Little house,ДВП,Масло,Abstraction,Abstract art,20,25,2020,1070
Terekhin Vladimir,Avant-garde bouquet,ДВП,Масло,Flowers,Impressionism,51,33,2020,1930
Gorenshtejn Aleksandr,Two paintings. Prophet 2,Холст,Масло,Portrait,Conceptual art,70,70,2017,10000
Gorenshtejn Aleksandr,Two paintings. Prophet 1,Холст,Масло,Portrait,Conceptual art,70,70,2017,10000
Gorenshtejn Aleksandr,Repair of the tower of Babel,Холст,Масло,Genre painting,Conceptual art,70,80,2015,9640
Gorenshtejn Aleksandr,Blind,Холст,Масло,Genre painting,Conceptual art,100,130,2015,10000
Gorenshtejn Aleksandr,Adam and Eve,Холст,Масло,Religion and myth,Conceptual art,75,120,2017,9640
Gorenshtejn Aleksandr,Seascape,Холст,Масло,Landscape,Conceptual art,80,60,2016,6430
Gorenshtejn Aleksandr,Court,Холст,Масло,Genre painting,Conceptual art,110,90,2017,9640
Gorenshtejn Aleksandr,Lighthouse keeper,Холст,Масло,Genre painting,Conceptual art,100,110,2015,10000
Gorenshtejn Aleksandr,Four paintings. A series of “Happy old age”,Холст,Масло,Portrait,Conceptual art,Unknown,Unknown,2012,10700
Gorenshtejn Aleksandr,Four paintings. A series of “Happy old age”,Холст,Масло,Portrait,Conceptual art,Unknown,Unknown,2012,10700
Gorenshtejn Aleksandr,Four paintings. A series of “Happy old age”,Холст,Масло,Genre painting,Conceptual art,Unknown,Unknown,2012,10700
Gorenshtejn Aleksandr,City of the sun,Холст,Масло,Genre painting,Conceptual art,100,110,2017,9640
Gorenshtejn Aleksandr,Four paintings. A series of “Happy old age”,Холст,Масло,Portrait,Conceptual art,Unknown,Unknown,2012,10700
Gorenshtejn Aleksandr,The morning after the Last Supper,Холст,Масло,Genre painting,Conceptual art,90,130,2017,10000
Gorenshtejn Aleksandr,Island of the blind,Холст,Масло,Genre painting,Conceptual art,100,100,2017,10000
Gorenshtejn Aleksandr,We’re still here,Холст,Масло,Genre painting,Conceptual art,90,140,2017,10700
"Kovba Nadya,Wisdom of the soul,Холст,""Масло, смолы"",Portrait,Impressionism,160,120,2019,10000"
"Kovba Nadya,Gems,Холст,""Масло, смолы"",Abstraction,Abstract art,100,120,2019,2570"
"Kovba Nadya,Ametrine,Холст,""Масло, смолы"",Abstraction,Abstract art,80,100,2019,2360"
"Kovba Nadya,Malachite,Холст,""Масло, смолы"",Abstraction,Abstract art,80,100,2019,2360"
"Kovba Nadya,Tsavorite,Холст,""Масло, смолы"",Abstraction,Abstract art,120,100,2019,3000"
"Kovba Nadya,Aventurine,Холст,""Масло, смолы"",Abstraction,Abstract art,100,100,2019,3000"
"Kovba Nadya,Turquoise,Холст,""Масло, смолы"",Abstraction,Abstract art,80,100,2019,2360"
"Kovba Nadya,Iceland,Холст,""Масло, смолы"",Abstraction,Abstract art,120,100,2019,2360"
"Kovba Nadya,Oman,Холст,""Масло, смолы"",Abstraction,Abstract art,100,120,2019,1930"
"Kovba Nadya,Morocco,Холст,""Масло, смолы"",Abstraction,Abstract art,100,120,2019,1930"
"Kovba Nadya,Sweden,Холст,""Масло, смолы"",Abstraction,Abstract art,120,100,2019,2000"
"Kovba Nadya,Myanmar,Холст,""Масло, смолы"",Abstraction,Abstract art,90,110,2019,1700"
"Kovba Nadya,Great Britain,Холст,""Масло, смолы"",Abstraction,Abstract art,100,80,2019,2000"
"Kovba Nadya,New land,Холст,""Масло, смолы"",Abstraction,Abstract art,160,190,2019,6000"
"Kovba Nadya,Tin and gold. Diptych 1 part,Холст,""Смешанная, смолы, золочение"",Abstraction,Abstract art,150,150,2019,5070"
"Kovba Nadya,Oil. Diptych 2 part,Холст,""Масло, смолы"",Abstraction,Abstract art,160,90,2019,3380"
"Kovba Nadya,Tin and gold. Diptych 2 part,Холст,""Смешанная, смолы, золочение"",Abstraction,Abstract art,150,150,2019,5070"
Gorlanov Vladimir,Hostesses,Canvas,Oil,Genre painting,Symbolism,64,72,1992,10000
Gorlanov Vladimir,Trio. Cabaret,Canvas,Oil,Portrait,Symbolism,90,105,2005,10000
Gorlanov Vladimir,Three girls,Canvas,Oil,Portrait,Symbolism,64,72,1992,8450
Gorlanov Vladimir,Sunlight spots,Canvas,Oil,Nude and erotic,Symbolism,47,85,1995,5070
"Gorlanov Vladimir,Roses,Hardboard,""Batik, silk"",Still life,Impressionism,78,68,1996,6340"
Gorlanov Vladimir,Autumn fairy tale,Canvas,Oil,Landscape,Impressionism,65,70,1991,1270
Gorlanov Vladimir,Stripped,Canvas,Oil,Nude and erotic,Symbolism,75,85,1992,10000
Gorlanov Vladimir,Nostalgia,Canvas,Oil,Nude and erotic,Symbolism,80,100,1992,14080
Gorlanov Vladimir,Still life with lemon,Canvas,Oil,Still life,Impressionism,60,90,2003,10000
Gorlanov Vladimir,Still life with irises,Canvas,Oil,Still life,Impressionism,56,52,1993,6340
Gorlanov Vladimir,Seascape,Canvas,Oil,Portrait,Impressionism,65,70,1991,10000
Gorlanov Vladimir,Coquette,Canvas,Oil,Portrait,Symbolism,110,80,1995,8450
Gorlanov Vladimir,Girls and flowers,Canvas,Oil,Portrait,Symbolism,75,85,1992,10000
Gorlanov Vladimir,Two graces,Canvas,Oil,Portrait,Symbolism,75,85,1992,8450
Gorlanov Vladimir,Spring,Canvas,Oil,Portrait,Symbolism,75,85,1995,10000
Oks Evgeniy,Morning Izmalkovo,Canvas,Oil,Landscape,Realism,50,69,1946,8360
Merinov Aleksey,Shapes and elements,Canvas,Oil,Landscape,Impressionism,59,79.5,2010,1290
Salihov Rustam,The vastness of the world №6,Canvas,Oil,Abstraction,Abstract art,100,100,2010,12290
Salihov Rustam,Horizon №5 Composition,Canvas,Oil,Abstraction,Abstract art,80,80,2015,
Gerasimenko Natalya,The smell of lilacs,Canvas,Oil,Flowers,Impressionism,50,60,Unknown,900
Firsov Aleksey,Convoy of wounded,Canvas,Oil,Genre painting,Realism,46,69,1970,2140
Novikova Nataliya,Lovers,Canvas,Oil,Genre painting,Impressionism,100,70,2014,3700
Novikova Nataliya,Parting,Canvas,Oil,Genre painting,Impressionism,90,70,2013,3320
Novokreshchenov Viktor,Fisherman and fisherwoman,Fiberboard,Oil,Landscape,Expressionism,83,116,2005,9860
Makarov Anton,The mirror,Canvas,Oil,Genre painting,Realism,100,95,2013,6430
Filippov Yuriy,Old poplar on the banks,Canvas,Oil,Landscape,Realism,80,70,1998,10210
Belyaev Sergey,Windstalker,Canvas,Oil,Genre painting,Expressionism,90,100,2015,5570
Purygin Valentin,Apple orchard,Canvas,Oil,Landscape,Realism,100,140,1995,20430
Filippov Yuriy,On the tracks (№2),Cardboard,Oil,Landscape,Realism,39,45,1979,7350
Novikova Nataliya,Walk,Canvas,Oil,Genre painting,Impressionism,60,70,2015,2220
Novikova Nataliya,Under the umbrella,Canvas,Oil,Portrait,Impressionism,70,90,2013,3320
Novikova Nataliya,On the Riga seashore,Canvas,Oil,Landscape,Impressionism,60,70,2015,2200
Novikova Nataliya,Moscow City. The first snow,Canvas,Oil,Landscape,Impressionism,100,80,2012,4230
Novikova Nataliya,Metro,Canvas,Oil,Landscape,Impressionism,100,70,2014,3700
Novikova Nataliya,Gulls,Canvas,Oil,Landscape,Impressionism,60,70,2015,2200
Filippov Yuriy,Chapel,Cardboard,Oil,Landscape,Realism,50,70,Unknown,1960
Zinger Grigoriy,Lake,Canvas,Oil,Landscape,Realism,59,83,Unknown,500
Firsov Aleksey,City built-2,Cardboard,Oil,Landscape,Realism,39,54.3,1956,3000
Lejnikov Yuriy,Bazaar Sednove-2,Canvas,Oil,Landscape,Realism,92,100,1965,10000
Bobrova Yulya,Maki,Canvas,Oil,Portrait,Symbolism,120,90,2016,6130
Firsov Aleksey,Yacht at the pier,Cardboard,Oil,Landscape,Realism,30,40,Unknown,1710
Dubovoy Igor,Sea sunset,Canvas,Oil,Landscape,Realism,40,60,Unknown,810
Dubovoy Igor,Summer evening,Canvas,Oil,Landscape,Realism,40,70,Unknown,1620
Dubovoy Igor,Winter etude,Panel,Oil,Landscape,Realism,35,25,Unknown,405
Dubovoy Igor,Sea,Canvas,Oil,Landscape,Realism,50,100,Unknown,3390
SHevandronova Irina,Girl Ulchanka,Cardboard,Oil,Portrait,Realism,55,44,1964,9770
Lejnikov Yuriy,Boats near the shore,Cardboard,Oil,Landscape,Realism,70,50,1970,1930
Bandura Aleksey,The quest for character,Нить,Гобелен,Animals,Symbolism,110,120,2008,8010
Timofeev Viktor,Marge,Fiberboard,Oil,Abstraction,Abstract art,50,75,2017,1500
"Konovalov Yuriy,Still life. Methodical work 2,Cardboard,""pastel, тушь, воск"",Still life,Realism,71,52,1990,1930"
"Filippov Yuriy,Lada Usolye,paper,""Сепия,penсil"",Landscape,Realism,47,61,1985,9810"
Dubovoy Igor,Moonlight,Canvas,Oil,Landscape,Realism,40,90,Unknown,1350
Dubovoy Igor,Marina,Canvas,Oil,Landscape,Realism,30,90,Unknown,2040
Dubovoy Igor,Spring forest,Canvas,Oil,Landscape,Realism,50,90,Unknown,3390
Dubovoy Igor,Sky light,Canvas,Oil,Landscape,Realism,50,90,Unknown,3390
Dubovoy Igor,Winter river,Canvas,Oil,Landscape,Realism,50,80,Unknown,4740
Dubovoy Igor,Spring,Canvas,Oil,Landscape,Realism,50,70,Unknown,2670
Dubovoy Igor,Storm,Canvas,Oil,Landscape,Realism,60,80,Unknown,4740
Dubovoy Igor,Spring is coming,Canvas,Oil,Landscape,Realism,50,90,Unknown,7980
"Bukh Aron,""Light, color, love"",Холст,Масло,Still life,Impressionism,102,70,1998,9300"
Novokreshchenov Viktor,Troitsky market,Canvas,Oil,Landscape,Expressionism,59,86,1975,7370
Filippov Yuriy,Ermak in Lbischah,paper,Сухая,Landscape,Realism,47,57,Unknown,6000
Firsov Aleksey,Portrait of a worker,Canvas,Oil,Portrait,Realism,73,50,1956,2360
Kulebakin Nikolay,Portrait of a friend,Fiberboard,Oil,Portrait,Abstract art,107,93,2015,12000
Filippov Yuriy,Study for the painting “Design engineers”,Cardboard,Oil,Portrait,Realism,80,50,1980,7350
Filippov Yuriy,Study for the painting “The Wounded”,Canvas/cardboard,Oil,Portrait,Realism,53,73,1958,10000
Kukol-Yasnopolskij Aleksandr,Kizhi,Холст,Масло,Landscape,Impressionism,61.5,91.5,2010,10000
Kukol-Yasnopolskij Aleksandr,Evening Moscow,Холст,Масло,Landscape,Impressionism,63,89.5,2011,10000
Kukol-Yasnopolskij Aleksandr,Golden sunset,Холст,Масло,Landscape,Impressionism,21,29.5,2019,2110
Kukol-Yasnopolskij Aleksandr,Evening coast of Sevastopol,Холст,Масло,Landscape,Impressionism,74,87,2013,6340
Filippov Yuriy,Temples on the river,Canvas/cardboard,Oil,Landscape,Realism,50,70,1993,10000
Birshteyn Maks,There is a five-year plan!,Canvas,Oil,Genre painting,Realism,68,74,1972,10000
Zabaluhin Yuriy,The temple in the mountains,Cardboard,Oil,Landscape,Realism,56,76,Unknown,1290
Tryndyk Vasiliy,The accordion player,Canvas,Oil,Portrait,Symbolism,90,70,Unknown,2790
Lejnikov Yuriy,The snowstorm,paper,gouache,Genre painting,Realism,30,40,1970,500
Firsov Aleksey,Boats,Cardboard,Oil,Landscape,Realism,30,40,1954,1290
Kukol-Yasnopolskij Aleksandr,Moscow,Холст,Масло,Landscape,Impressionism,29,38,2019,630
Kukol-Yasnopolskij Aleksandr,The girl in the hat,Холст,Масло,Portrait,Impressionism,50,70,2012,8450
Kukol-Yasnopolskij Aleksandr,Fruit still life,Бумага,Пастель,Still life,Realism,30,40,2011,1270
Kukol-Yasnopolskij Aleksandr,Madonna with child,Мешковина,Масло,Portrait,Realism,62,60,2011,14080
Kukol-Yasnopolskij Aleksandr,Boy in the nursery,Холст,Масло,Portrait,Realism,60,29,2014,8450
Kukol-Yasnopolskij Aleksandr,At the shooting range,Бумага,Акварель,Genre painting,Realism,30,40,2009,210
Kukol-Yasnopolskij Aleksandr,Parsuna. The Prince Russian,Мешковина,Масло,Portrait,Realism,29,20.5,2011,630
Kukol-Yasnopolskij Aleksandr,Peter The Great,Мешковина,Масло,Portrait,Realism,38,28.5,2005,1060
Kukol-Yasnopolskij Aleksandr,Rainbow,Бумага,Акварель,Flowers,Realism,30,40,2019,210
Kukol-Yasnopolskij Aleksandr,Pink dreams,Бумага,Акварель,Flowers,Realism,30,40,2019,210
Kukol-Yasnopolskij Aleksandr,Lilac splendor,Бумага,Акварель,Flowers,Realism,30,40,2019,210
Kukol-Yasnopolskij Aleksandr,Lilac in a vase,Бумага,Акварель,Flowers,Realism,30,40,2019,210
Kukol-Yasnopolskij Aleksandr,Blooming front garden,Бумага,Акварель,Flowers,Realism,30,40,2019,210
Kukol-Yasnopolskij Aleksandr,Wonderful meadow,Бумага,Акварель,Landscape,Realism,30,40,2019,210
Novokreshchenov Viktor,Dahlias,Fiberboard,Oil,Flowers,Expressionism,73,61,2007,4930
Zinger Grigoriy,Foggy Day on the Volga,Canvas,Oil,Landscape,Realism,48,67,Unknown,500
Filippov Yuriy,Study for the painting. Moonlight night,Cardboard,Oil,Landscape,Realism,53,73,1984,9190
"Kovba Nadya,Happy family,Canvas,""Oil,acrylic"",Landscape,Symbolism,120,160,2014,6860"
Balavadze Mihail,Room,Canvas,Oil,Landscape,Realism,76,100,2017,8360
Cholokyan Misak,Storm,Холст,Смешанная,Landscape,Abstract art,90,80,2018,5070
Cholokyan Misak,Black and white,Холст,Акрил,Abstraction,Abstract art,160,116,2019,6760
Cholokyan Misak,Tell her I love her,Холст,Смешанная,Abstraction,Abstract art,90,80,2019,5070
Cholokyan Misak,Revolution,Холст,Акрил,Genre painting,Abstract art,160,116,2018,7610
Cholokyan Misak,Water 3,Холст,Акрил,Abstraction,Abstract art,160,151,2019,6760
Cholokyan Misak,Imitation,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Imitation 1,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,10000
Cholokyan Misak,Imitation 9,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Imitation 12,Холст,Смешанная,Abstraction,Abstract art,160,157,2019,8450
Cholokyan Misak,Imitation 4,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Imitation 6,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Water,Холст,Акрил,Abstraction,Abstract art,160,116,2018,9300
Cholokyan Misak,Imitation 3,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Abstraction,Холст,Акрил,Abstraction,Abstract art,90,80,2018,5070
Cholokyan Misak,Imitation,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Imitation,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Cholokyan Misak,Imitation,Холст,Смешанная,Abstraction,Abstract art,160,116,2019,8450
Konovalov Yuriy,India. Agra. local aborigines,paper,charcoal,Portrait,Realism,39,76,1980,2910
Ogembo Mary,Anxious,Canvas,Oil,Portrait,Naive art,100,100,Unknown,10000
Indyukhov Nikolay,Village,Canvas,Oil,Landscape,Symbolism,50,70,1991,12170
"Paronyan-Ovsepyan Gurgen,""Gouros, Sevan"",Canvas,Oil,Landscape,Realism,49.5,68,1974,5070"
Simdyanov Andrey,Pasture,Canvas,Oil,Landscape,Realism,44,78,2007,500
Bandura Aleksey,Dakar-Paris,Нить,Гобелен,Animals,Conceptual art,90,80,2014,4590
Karnaukhov Lev,Commander’s Promenade,Холст,Масло,Genre painting,Surrealism,70,100,2019,10000
Karnaukhov Lev,There. Cast,Холст,Масло,Genre painting,Surrealism,96,74,2018,10000
Karnaukhov Lev,From. Foreign minarets,Холст,Масло,Landscape,Surrealism,86,63,2015,10000
Karnaukhov Lev,From. Cyclone,Оргалит,Масло,Landscape,Surrealism,80,120,2007,10000
Piskarev Vladimir,Icarus,Fiberboard,acrylic,Portrait,Symbolism,75.5,57,2008,1840
Skobeev Vitaliy,Allegory,Canvas,Oil,Genre painting,Symbolism,75,63,2010,5660
Bandura Aleksey,Red Square and chicken,Нить,Гобелен,Animals,Conceptual art,80,80,2012,8010
Akutin Nikolay,Beauty of autumn,Canvas,Oil,Landscape,Realism,45,58,1985,1530
Vorzhev Sergey,Year of the Rooster 2017,Canvas,Oil,Animals,Realism,48,56,2017,3210
Veselyy Frol,Helicopter,Canvas,acrylic,Genre painting,Expressionism,100,160,2015,4110
Karnaukhov Lev,Gone (September),Оргалит,Масло,Landscape,Surrealism,81,56,2015,10000
Karnaukhov Lev,From. Tunnel,Холст,Масло,Landscape,Surrealism,90,70,2014,8450
Karnaukhov Lev,From. Crossroad,Холст,Масло,Landscape,Surrealism,80,100,2016,10000
Karnaukhov Lev,From. Monte Noire,Холст,Масло,Landscape,Surrealism,80,100,2016,10000
Karnaukhov Lev,From. Harmont Zonne II,Ватман,Масло,Landscape,Surrealism,50,70,2005,4230
Karnaukhov Lev,Waiting For Jonah,Холст,Масло,Religion and myth,Surrealism,70,90,2014,10000
Karnaukhov Lev,Night watch,Холст,Масло,Genre painting,Surrealism,70,90,2016,9300
Karnaukhov Lev,Cybele,Холст,Масло,Landscape,Surrealism,70,70,2002,8450
Konovalov Yuriy,Norway. city ​​Ålesund,paper,pastel,Landscape,Impressionism,37,70,2013,1970
Zinger Grigoriy,Amur region. longboat,Cardboard,Oil,Landscape,Realism,64.5,46,Unknown,500
Dyachenko Nikolay,Kitsune 1,Canvas,Oil,Animals,Surrealism,60,50,2013,2570
Konovalov Yuriy,Norway. Sognefjord,paper,pastel,Landscape,Realism,45,64,2013,1970
Karnaukhov Lev,By the evening,Оргалит,Масло,Landscape,Surrealism,75,70,1976,4230
Karnaukhov Lev,August,Оргалит,Масло,Landscape,Surrealism,55,75,2019,6340
Karnaukhov Lev,Maybe Moses,Холст,Масло,Landscape,Surrealism,60,90,2018,8450
Karnaukhov Lev,…and copper pipes,Холст,Масло,Landscape,Surrealism,90,70,2019,8450
SHubin Artem,Grape extravaganza,Canvas,Масло,Landscape,Impressionism,60,70,2019,1180
"SHubin Artem,""The Church Of St. Anastasia Of Sirmium, Kachi-Kalion"",Холст,Масло,Landscape,Impressionism,70,60,2019,1180"
Koshkin Konstantin,Entropy,paper,gouache,Genre painting,Symbolism,35,21,1974,610
Prokopenko Aleksey,In Volozhka,Cardboard,Oil,Landscape,Realism,60,78,1960,2140
YAr-Kravchenko Anatoliy,Gorky reads a fairy tale “The Girl and Death”,Canvas,Oil,Genre painting,Realism,95,108,1940,
Bakumov Vyacheslav,Autumn. quiet day,Canvas,Oil,Landscape,Realism,23,28,2001,
Kerkeladze Niko,Mother with baby,Canvas,Oil,Portrait,Naive art,65,50,2016,8100
Merinov Aleksey,First snow,Canvas,Oil,Landscape,Impressionism,49,67,1990,1200
SHubin Artem,Red-hot forge,Холст,Масло,Landscape,Impressionism,60,70,2019,1350
SHubin Artem,Under the sound of autumn rain,Холст,Масло,Landscape,Impressionism,50,80,2019,760
SHubin Artem,Sunset over Stroganovka,Холст,Масло,Landscape,Impressionism,35,70,2019,510
SHubin Artem,The Burning Of The South,Холст,Масло,Still life,Impressionism,60,70,2019,760
SHubin Artem,Temple of Apollo. Side. Turkey,Холст,Масло,Landscape,Impressionism,70,60,2019,930
SHubin Artem,Over the roofs of Bakhchisarai,Холст,Масло,Landscape,Impressionism,60,70,2018,760
Mantkava Givi,Nivkh archers,Canvas,mixed,Genre painting,Impressionism,60,70,Unknown,4290
Konovalov Yuriy,Sukhanovo,paper,pastel,Landscape,Realism,54,74,1990,2140
Zinger Grigoriy,Tomatoes,Canvas,Oil,Still life,Realism,66,63,Unknown,500
Rypolovskiy Yuriy,In the twilight,Cardboard,Oil,Landscape,Realism,22,18,1974,500
Shameem Subrana,Nature-2,Canvas,acrylic,Abstraction,Abstract art,180,180,2015,10000
SHubin Artem,Traces of antiquity.Turkey,Холст,Масло,Landscape,Impressionism,60,70,2019,930
SHubin Artem,Lavender in the foothills,Холст,Масло,Landscape,Impressionism,60,70,2019,760
"SHubin Artem,""The Mihrab. The Central Complex Mosque, Manavgat. Turkey"",Холст,Масло,Landscape,Impressionism,70,60,2019,1480"
SHubin Artem,On the lavender expanses,Холст,Масло,Landscape,Impressionism,60,70,2019,760
Konovalov Yuriy,Jordan. Wadi Rum,paper,pastel,Landscape,Realism,31,49,2014,1460
Pankratov Vasiliy,Portrait of the honored police officer,Canvas,Oil,Portrait,Realism,108,86,Unknown,5140
Konovalov Yuriy,Panorama of Santorini,paper,pastel,Landscape,Realism,39,64,2012,1840
Anikeev Mihail,The busy time to,Canvas,Oil,Genre painting,Expressionism,73,54,1958,13000
Terekhin Vladimir,Demon,Плекс,Oil,Genre painting,Conceptual art,82,69,2001,10000
"Bandura Aleksey,""First, … Second …"",Нить,Гобелен,Genre painting,Symbolism,90,110,2014,6130"
Liza Shchegol,Abyss,Бумага,Темпера,Landscape,Symbolism,13,18,2019,80
Konovalov Yuriy,Dedenevo village. “The Tourist” station,paper,pastel,Landscape,Realism,34,50,2002,2140
Galahov Boris,Morning on Kondurcha,Cardboard,gouache,Landscape,Impressionism,19,34.5,1953,2140
Bandura Aleksey,Safari in Africa,Нить,Гобелен,Animals,Symbolism,70,120,2011,5360
Kovalchuk Evgeniy,Vorontsov ponds,Дерево,Oil,Landscape,Impressionism,40,50,2019,1200
Ogembo Mary,Market day,Canvas,Oil,Portrait,Naive art,100,100,Unknown,10000
Veselyy Frol,LEP,Canvas,acrylic,Genre painting,Expressionism,90,120,2014,3430
Liza Shchegol,Latvia,Бумага,Темпера,Landscape,Naive art,13,18.5,2019,80
Filatov Gennadiy,October,Canvas,Oil,Landscape,Impressionism,83,150,1975,500
Zinger Grigoriy,Pink sunset,Cardboard,Oil,Landscape,Realism,45,54,Unknown,500
Makarov Anton,Mostok,Canvas,Oil,Landscape,Realism,100,60,2008,5170
"Konovalov Yuriy,Rangoni. Shwedagon,paper,""Фломастер, watercolor"",Landscape,Realism,50,36,1976,1710"
